lemma,collocate,LogL,LR,MI,LogDice
facio,sum,124.69,1.3268330936425,1.39636418115767,10.6076802923699
facio,ut,52.06,1.54034414306402,1.5413318351685,10.4926611576969
facio,certus,81.64,4.11846366340709,3.22468328841338,10.4427057815551
facio,impetus,60.25,4.36888579331875,3.37608982764133,10.1109044992156
facio,non,11.96,0.755574073130768,1.0066312563945,10.0507923765227
facio,quis,13.29,0.96570589645922,1.15026743195374,10.0490161904519
facio,iter,43.19,3.60477045098331,2.90469463757676,10.0057388963349
facio,idem,21.48,1.9385815373866,1.81040889556433,9.99115280993631
facio,satis,41.35,3.68360076599151,2.9545235666538,9.94420970638802
facio,is,6.61,0.579651054989814,0.886169416042245,9.93516459586166
facio,possum,8.98,0.944709193607311,1.13592834488023,9.90181666147073
facio,ita,18.11,1.87703269698908,1.76894812746758,9.89684023939273
facio,proelium,39.6,3.78136758769384,3.01598042125397,9.87690602449191
facio,si,5.64,0.731893394062065,0.990426629770816,9.81677614830387
facio,mentio,47.63,6.01658404938787,4.26077522010016,9.54202556883049
facio,potestas,20.88,3.20922912733027,2.65133730766606,9.4748204397084
facio,bene,14.91,2.56537293755554,2.22934289760668,9.43305102683211
facio,saepe,9.73,1.96130161388668,1.82570094406003,9.37564011961877
facio,conor,22.36,3.69465595450051,2.9614922359699,9.37083430845569
facio,debeo,8.78,1.84165836688719,1.7450969116454,9.36163684665614
facio,finis,11.24,2.3320858751158,2.07418904096899,9.29692559903054
facio,insidiae,19.34,3.71890350074719,2.97675970810069,9.22508703942481
facio,uerbum,8.01,2.07798459405202,1.90412290583584,9.14083379921493
facio,recte,16.7,3.81495018821822,3.03699978847804,9.05265955627606
facio,polliceor,13.82,3.33851214427523,2.73471891660511,9.0399564920198
facio,facinus,12.24,3.07172560358033,2.56210617393811,9.03088138610668
facio,iniuria,9.97,2.68030066152344,2.3053863270903,9.01434069197392
facio,rogo,9.89,2.66608680230374,2.29599658674046,9.01365739847279
facio,uoluntas,7.94,2.31614433124678,2.06355064276394,8.99471231223034
facio,pax,6.14,1.97218993002942,1.83302698415211,8.97152478777541
