lemma,collocate,LogL,LR,MI,LogDice
sui,inter,253.91,4.70643764590516,3.51471166339821,11.1187695133608
sui,ipse,82.26,2.18658197319275,1.95713185006053,10.7009195372498
sui,cum,72.17,1.57226534174009,1.54667661346207,10.6834911139113
sui,per,71.09,2.67303689290137,2.27684729945291,10.4992925163582
sui,ad,52.59,1.48567538863016,1.48835672477326,10.5608833834756
sui,quisque,46.8,3.2147788650234,2.62515399372112,9.98211660387238
sui,suum,45.99,5.34030974710726,3.8451271393935,9.38268168007626
sui,ab,42.34,1.47861857092884,1.483599510766,10.4660527810481
sui,circum,28.09,4.96685135157982,3.65477341090228,8.98051509062676
sui,recipio,24.29,3.06910140982777,2.53244459561685,9.43617277754629
sui,similis,20.85,3.22042542816454,2.628731815069,9.23143626710347
sui,prae,17.59,4.72292576869373,3.52374514849587,8.57835941741996
sui,conscius,14.96,4.17038474566495,3.21008758964083,8.57449947328367
sui,dico,14.76,1.13280156285679,1.24974819147112,10.0493768213082
sui,nego,14.63,2.54235352305191,2.19151800864626,9.2047261167759
sui,purgo,14.32,5.04485386358109,3.69559540542253,8.29455224602474
sui,confirmo,14.27,3.02495430614338,2.50420138330346,8.95121293993937
sui,iacto,13.72,3.3370346150744,2.70234363241225,8.78235053651942
sui,occulto,13.31,4.7553472463861,3.54144472559528,8.29344359846107
sui,contentus,13.05,3.22382400462641,2.63088466843011,8.78018486160692
sui,reuertor,12.74,3.17038474566495,2.59698311675442,8.77910378042055
sui,ea,11.99,2.43717128635985,2.12252513715931,9.07585673725719
sui,qui,11.73,0.501282994056862,0.81972218459428,10.2244217177347
sui,in,11.49,0.583264943546092,0.875724121659554,10.2021554235248
sui,apud,11.04,1.85371237622908,1.73550062137526,9.35801584088919
sui,conuerto,10.84,3.30788826941488,2.68399449374405,8.56464178119117
sui,erigo,10.77,4.04485386358109,3.13597961748711,8.28957298262513
sui,molestus,10.51,3.23749894152348,2.63954273117322,8.56355245646471
sui,confero,10.34,2.44659454024647,2.12871710740723,8.93214456557385
sui,cohortor,9.97,3.82246144224464,3.00244822486259,8.2879187225291
